Age,Income,Location,Samplingtime,Sex,Drinking,Education,Marriage,Smoking
58.533,22000,10,1,2,0,1,2,0
77.952,22024.17657,10,1,2,1,1,4,1
48.142,117333.3333,10,1,1,1,2,2,1
64.014,18750,10,1,2,0,2,4,1
51.945,20000,10,1,1,1,2,2,1
52.862,20000,10,1,2,0,2,2,0
53.859,40625,10,1,2,0,5,2,0
50.617,34564.34911,10,1,2,0,5,2,0
51.48,9178.145455,10,1,1,1,3,2,1
41.744,9491.617357,10,1,2,0,4,2,0
54.366,12000,10,1,2,0,2,2,0
67.37,23000,10,1,1,0,1,2,0
67.984,73250,10,1,2,0,1,2,0
68.222,6500,10,1,2,0,1,2,0
65.733,13333.33333,10,1,1,0,1,2,0
42.437,60,10,1,1,1,2,2,0
43.425,3600,10,1,1,1,3,2,0
48.654,40000,10,1,2,1,2,2,1
68.123,27000,10,1,2,0,1,2,1
64.611,0,10,1,1,1,1,2,0
63.789,0,10,1,2,0,4,2,0
43.825,32693.91026,10,1,2,0,5,2,0
61.013,20769.23077,10,1,1,0,3,2,0
63.797,20769.23077,10,1,2,0,3,2,0
51.48,30000,10,1,2,0,3,2,0
51.806,32695.51282,10,1,2,0,4,2,0
44.003,44403.84615,10,1,1,1,5,2,1
53.799,17307.69231,10,1,2,0,3,2,0
51.474,52692.30769,10,1,1,0,5,2,0
62.524,30000,10,1,2,0,1,2,0
58.259,-78050,10,1,2,0,1,2,0
66.267,106000,10,1,2,0,1,4,0
25.881,16800,10,1,2,0,4,2,0
36.736,6000,10,1,1,1,4,2,1
56.468,6246,10,1,1,0,2,2,0
48.964,3202.75,10,1,2,0,1,2,0
50.598,10150,10,1,2,0,2,2,0
47.504,2269,10,1,1,0,2,2,0
63.559,15211,10,1,2,0,1,2,0
66.363,8919,10,1,2,0,2,2,0
54.226,9618.4,10,1,1,1,2,2,0
57.604,12546,10,1,1,1,2,2,1
55.326,12546,10,1,2,0,1,2,1
56.271,27210,10,1,1,0,3,2,1
61.087,8627.5,10,1,1,0,2,2,1
55.88,8627.5,10,1,2,0,1,2,0
23.017,6072.666667,10,1,2,0,3,2,0
78.133,46153.84615,10,1,1,0,5,4,0
66.549,17307.69231,10,1,2,0,4,2,0
51.184,38317.30769,10,1,1,1,5,2,1
64.789,53269.23077,10,1,1,0,5,2,0
64.115,53269.23077,10,1,2,0,5,2,0
61.878,52596.15385,10,1,2,0,4,4,0
62.259,23557.69231,10,1,1,1,5,2,1
57.604,33173.07692,10,1,2,0,4,2,0
73.815,38076.92308,10,1,1,0,2,2,0
70.801,50769.23077,10,1,1,1,5,2,0
46.16,31015,10,1,2,0,2,2,0
57.139,6825,10,1,1,0,1,2,1
72.353,11430.5,10,1,1,0,2,2,0
60.334,22024.17657,10,1,1,0,3,2,0
65.3,22024.17657,10,1,1,0,1,4,0
48.761,12361,10,1,1,0,1,1,0
37.492,12176.66667,10,1,1,1,2,2,1
57.372,28207.5,10,1,1,0,2,2,1
60.309,22024.17657,10,1,2,0,1,4,0
46.333,26226.66667,10,1,1,1,3,2,0
44.153,26226.66667,10,1,2,0,1,2,0
61.87,22024.17657,10,1,1,0,1,2,0
61.845,22024.17657,10,1,2,0,1,2,0
55.368,7400,10,1,2,0,2,2,0
56.646,7400,10,1,1,0,1,2,0
60.474,5000,10,1,2,0,1,2,0
66.615,2200,10,1,2,0,1,2,1
77.632,22024.17657,10,1,1,0,1,2,0
51.989,8307.5,10,1,2,0,2,2,0
43.567,16000,10,1,2,0,2,2,0
63.748,2653.5,10,1,1,0,1,2,1
62.439,2653.5,10,1,2,0,1,2,0
50.297,12000,10,1,1,0,1,2,0
54.93,22024.17657,10,1,1,0,2,2,1
54.289,14746,10,1,1,1,2,2,1
61.906,17976.92308,10,1,2,1,2,2,0
75.721,10805.28846,10,1,2,0,1,4,0
49.807,14743.58974,10,1,2,0,3,2,0
64.142,13846.15385,10,1,2,0,2,4,0
53.878,22024.17657,10,1,2,0,1,4,0
61.958,12223.07692,10,1,2,0,1,2,0
38.648,14461.53846,10,1,1,1,3,2,1
38.155,14461.53846,10,1,2,0,2,2,0
80.66,22024.17657,10,1,1,0,1,2,0
41.361,12000,10,1,1,0,2,2,0
41.262,12000,10,1,2,0,1,2,0
40.126,22024.17657,10,1,1,0,2,2,0
51.617,22024.17657,10,1,1,0,1,2,0
71.488,10115,10,1,1,0,1,4,1
36.474,22024.17657,10,1,1,1,4,2,1
53.552,3987.5,10,1,1,0,2,4,0
28.375,3987.5,10,1,2,0,2,2,0
41.895,0,10,1,1,0,2,2,0
32.033,-500,10,1,2,1,3,1,0
50.732,23761,10,1,2,0,2,2,0
67.71,24030,10,1,1,1,1,2,1
52.674,17433.33333,10,1,1,0,2,2,0
61.221,3700,10,1,1,1,1,2,1
69.574,9010,10,1,2,0,1,2,0
62.908,8675,10,1,1,0,1,2,1
48.345,6700,10,1,1,0,1,2,1
45.673,61366.5,10,1,1,0,1,2,0
43.644,19918.26923,10,1,2,0,4,2,0
11.652,17891.82692,10,1,1,0,1,1,0
33.495,28846.15385,10,1,2,0,4,1,0
34.27,15461.53846,10,1,2,0,2,2,0
40.838,11923.07692,10,1,2,0,2,2,0
43.069,22307.69231,10,1,1,1,4,2,1
63.86,3110,10,1,2,0,1,2,0
61.514,17573.5,10,1,2,0,1,2,0
66.79,6105,10,1,2,0,1,2,0
41.06,68365.33333,10,1,1,1,2,2,1
58.171,11625,10,1,2,0,1,2,0
35.474,5189.2,10,1,1,1,3,2,0
35.896,5189.2,10,1,2,0,2,2,0
65.429,3195,10,1,1,0,1,2,0
65.432,3195,10,1,2,0,1,2,0
51.789,59900,10,1,1,0,2,2,0
49.306,9350,10,1,1,1,1,2,0
48.627,60600,10,1,2,0,2,2,0
61.862,3920,10,1,2,0,1,4,1
43.023,1173.333333,10,1,2,1,1,2,0
49.503,8583.333333,10,1,2,0,2,2,0
44.027,6083.333333,10,1,2,0,3,2,0
57.634,17779,10,1,2,0,1,2,0
50.489,107179,10,1,1,1,2,2,1
46.029,107179,10,1,2,0,2,2,0
60.676,12741.16667,10,1,1,1,3,2,1
32.528,12741.16667,10,1,2,0,1,2,0
9.996,12741.16667,10,1,2,0,1,1,0
58.426,16471.71429,10,1,2,0,2,2,0
45.383,33889.21429,10,1,2,0,1,2,0
51.387,99038.5,10,1,1,1,2,2,1
10.289,33056.6,10,1,1,0,1,1,0
49.856,4075,10,1,2,0,1,2,1
54.045,63218,10,1,2,0,1,2,1
51.047,30464.5,10,1,1,1,2,2,1
51.926,30464.5,10,1,2,0,2,2,0
71.751,3650,10,1,1,0,1,2,0
59.283,39175,10,1,1,0,2,2,1
66.256,36930,10,1,1,0,5,2,1
51.951,42359.13462,10,1,2,0,4,2,0
51.874,42359.13462,10,1,1,1,4,2,1
39.992,26177.88462,10,1,2,0,5,2,0
46.264,13463.78205,10,1,2,1,5,2,0
48.589,13463.78205,10,1,1,1,5,2,1
63.477,40384.61539,10,1,1,1,4,2,1
47.217,40403.84615,10,1,1,1,5,2,0
47.921,40403.84615,10,1,2,0,4,2,0
51.362,167336.5385,10,1,1,1,2,2,1
12.641,15788.46154,10,1,2,0,2,1,0
53.525,45524.03846,10,1,1,0,2,2,0
50.669,35865.38462,10,1,1,1,4,2,1
49.218,35865.38462,10,1,2,0,4,2,0
50.872,39326.92308,10,1,1,1,4,2,1
49.648,39326.92308,10,1,2,0,4,2,0
48.192,37873.56322,14,2,2,0,2,2,0
27.034,37873.56322,14,2,2,0,5,2,0
59.157,32620.68966,14,2,1,0,1,2,1
56.934,32620.68966,14,2,2,0,2,2,0
71.633,19760.91954,14,2,2,0,1,2,0
28.564,14781.6092,14,2,2,0,5,2,0
63.031,14781.6092,14,2,2,0,1,2,0
63.239,14781.6092,14,2,1,1,2,2,0
53.985,35747.12644,14,2,2,0,1,2,0
88.887,54988.50575,14,2,1,0,1,2,0
78.023,1149.425287,14,2,2,0,1,2,0
69.081,12597.70115,14,2,1,1,1,2,1
69.035,24128.73563,14,2,2,0,1,2,0
41.697,24128.73563,14,2,2,0,2,2,0
51.899,51356.32184,14,2,1,1,3,2,1
71.795,62643.67816,14,2,1,1,1,2,1
75.351,62643.67816,14,2,2,0,1,2,0
71.89,5459.770115,14,2,1,1,1,2,0
72.022,25448.27586,14,2,1,0,1,2,1
48.605,21609.1954,14,2,2,0,4,2,0
68.745,10727.96935,14,2,1,0,1,2,0
45.793,10727.96935,14,2,2,0,1,2,0
50.36,54988.50575,14,2,2,0,2,2,0
13.131,21444.44444,14,2,2,0,2,1,0
55.702,21987.65432,14,2,1,1,3,2,1
69.016,37037.03704,14,2,2,0,2,2,0
82.612,42361.11111,14,2,2,0,1,4,0
56.304,33024.69136,14,2,1,0,3,1,1
75.641,47546.2963,14,2,2,0,3,2,0
74.927,47546.2963,14,2,1,0,2,2,0
59.699,15578.7037,14,2,1,0,2,2,0
38.998,64969.1358,14,2,1,0,5,2,0
83.436,61111.11111,14,2,1,0,4,2,0
58.155,2111.111111,14,2,2,0,1,4,0
71.751,30555.55556,14,2,1,1,2,2,1
70.897,21481.48148,14,2,2,0,3,2,0
13.777,21481.48148,14,2,2,0,2,1,0
66.842,40648.14815,14,2,1,1,1,2,1
68.46,45740.74074,14,2,1,1,1,2,1
73.114,19629.62963,14,2,1,0,3,2,0
71.89,34166.66667,14,2,1,0,3,2,0
74.127,35000,14,2,1,0,4,2,0
68.468,35000,14,2,2,0,1,2,0
46.919,30555.55556,14,2,1,1,4,3,1
76.712,60925.92593,14,2,1,0,2,2,0
67.691,36111.11111,14,2,1,1,2,2,1
67.483,30185.18519,14,2,2,0,2,2,0
50.42,27222.22222,14,2,2,0,4,2,0
64.75,29259.25926,14,2,2,0,2,2,0
73.643,30953.7037,14,2,2,0,2,2,0
65.982,62390.8046,14,2,2,0,1,2,0
68.509,47011.49425,14,2,1,1,2,2,1
33.96,8367.816092,14,2,2,0,3,2,0
58.366,8367.816092,14,2,2,0,3,2,0
48.893,26360.15326,14,2,2,0,2,2,0
67.934,14620.68966,14,2,2,0,1,2,0
68.684,14620.68966,14,2,1,0,1,2,1
59.411,27135.63218,14,2,1,1,1,2,1
45.96,79655.17241,14,2,2,0,2,4,0
52.966,94257.47126,14,2,2,0,3,2,0
56.887,94257.47126,14,2,1,1,3,2,0
52.717,59693.48659,14,2,1,1,4,2,1
77.744,45241.37931,14,2,2,0,4,2,0
62.7,13172.41379,14,2,2,0,1,2,0
59.348,27475.86207,14,2,2,0,1,2,0
35.986,17854.40613,14,2,2,0,5,2,0
57.823,12148.14815,14,2,2,1,3,2,0
46.825,42436.78161,14,2,2,0,1,2,0
56.698,26015.32567,14,2,1,0,2,2,0
48.882,42145.59387,14,2,2,0,2,2,0
65.207,44712.64368,14,2,1,1,1,2,1
83.433,7448.275862,14,2,2,0,1,5,0
47.296,78908.04598,14,2,2,0,2,2,0
73.777,21977.01149,14,2,1,0,2,2,0
45.676,9944.270289,14,2,1,1,2,2,1
55.603,28275.86207,14,2,1,1,2,2,1
65.755,30574.71264,14,2,2,0,1,4,0
70.341,30631.89655,14,2,2,0,1,2,0
63.466,22183.90805,14,2,2,0,1,2,0
72.008,20924.3295,14,2,2,0,1,2,0
52.301,20924.3295,14,2,2,0,3,2,0
71.044,25756.32184,14,2,1,1,2,2,1
70.146,25756.32184,14,2,2,0,1,2,0
